store_id,store_name,area_cd
001,昭島店,TK
002,あきる野店,TK
003,足立店,TK
004,北千住店,TK
005,綾瀬店,TK
006,荒川店,TK
007,東尾久店,TK
008,板橋店,TK
009,高島平店,TK
010,稲城店,TK
011,江戸川店,TK
012,西葛西店,TK
013,青梅店,TK
014,大田店,TK
015,大森店,TK
016,蒲田店,TK
017,葛飾店,TK
018,亀有店,TK
019,赤羽店,TK
020,王子店,TK
021,清瀬店,TK
022,国立店,TK
023,江東店,TK
024,富岡店,TK
025,南砂店,TK
026,小金井店,TK
027,国分寺店,TK
028,小平店,TK
029,狛江店,TK
030,品川店,TK
031,五反田店,TK
032,大井店,TK
033,渋谷店,TK
034,恵比寿店,TK
035,代々木店,TK
036,新宿店,TK
037,大久保店,TK
038,高田馬場店,TK
039,杉並店,TK
040,高円寺店,TK
041,荻窪店,TK
042,墨田店,TK
043,向島店,TK
044,世田谷店,TK
045,池尻店,TK
046,駒沢店,TK
047,成城店,TK
048,上野店,TK
049,浅草店,TK
050,谷中店,TK
051,立川店,TK
052,多摩店,TK
053,銀座店,TK
054,日本橋店,TK
055,調布店,TK
056,神田店,TK
057,九段店,TK
058,池袋店,TK
059,巣鴨店,TK
060,駒込店,TK
061,中野店,TK
062,東中野店,TK
063,西多摩店,TK
064,西東京店,TK
065,練馬店,TK
066,石神井店,TK
067,大泉店,TK
068,八王子店,TK
069,羽村店,TK
070,東久留米店,TK
071,東村山店,TK
072,東大和店,TK
073,日野店,TK
074,府中店,TK
075,福生店,TK
076,本郷店,TK
077,大塚店,TK
078,町田店,TK
079,三鷹店,TK
080,赤坂店,TK
081,青山店,TK
082,六本木店,TK
083,武蔵野店,TK
084,武蔵村山店,TK
085,目黒店,TK
086,自由が丘店,TK
087,愛甲店,KN
088,足柄上店,KN
089,厚木店,KN
090,綾瀬店,KN
091,伊勢原店,KN
092,海老名店,KN
093,小田原店,KN
094,鎌倉店,KN
095,麻生店,KN
096,川崎店,KN
097,幸店,KN
098,高津店,KN
099,川崎多摩店,KN
100,中原店,KN
101,宮前店,KN
102,高座店,KN
103,相模原店,KN
104,座間店,KN
105,逗子店,KN
106,茅ヶ崎店,KN
107,中店,KN
108,秦野店,KN
109,平塚店,KN
110,藤沢店,KN
111,三浦店,KN
112,南足柄店,KN
113,大和店,KN
114,横須賀店,KN
115,青葉店,KN
116,旭店,KN
117,泉店,KN
118,磯子店,KN
119,神奈川店,KN
120,金沢店,KN
121,港南店,KN
122,港北店,KN
123,栄店,KN
124,瀬谷店,KN
125,都筑店,KN
126,鶴見店,KN
127,戸塚店,KN
128,保土ケ谷店,KN
129,横浜緑店,KN
130,横浜南店,KN
131,我孫子店,CH
132,市川店,CH
133,市原店,CH
134,浦安店,CH
135,柏店,CH
136,木更津店,CH
137,君津店,CH
138,佐倉店,CH
139,白井店,CH
140,千葉中央店,CH
141,千葉緑店,CH
142,若葉店,CH
143,富里店,CH
144,流山店,CH
145,習志野店,CH
146,成田店,CH
147,富津店,CH
148,船橋店,CH
149,松戸店,CH
150,茂原店,CH
151,八千代店,CH
152,四街道店,CH
153,上尾店,SA
154,入間店,SA
155,春日部店,SA
156,川口店,SA
157,川越店,SA
158,行田店,SA
159,久喜店,SA
160,熊谷店,SA
161,鴻巣店,SA
162,越谷店,SA
163,浦和店,SA
164,大宮店,SA
165,さいたま西店,SA
166,さいたま緑店,SA
167,さいたま南店,SA
168,坂戸店,SA
169,狭山店,SA
170,志木店,SA
171,草加店,SA
172,所沢店,SA
173,戸田店,SA
174,新座店,SA
175,羽生店,SA
176,東松山店,SA
177,本庄店,SA
178,八潮店,SA
179,和光店,SA
180,つくば店,IB
181,取手店,IB
182,那珂店,IB
183,日立店,IB
184,水戸店,IB
185,守谷店,IB
186,足利店,TO
187,宇都宮店,TO
188,小山店,TO
189,佐野店,TO
190,栃木店,TO
191,伊勢崎店,GU
192,太田店,GU
193,桐生店,GU
194,高崎店,GU
195,館林店,GU
196,前橋店,GU
999,保守担当,TK
